subscription_id,customer_id,plan,total_usage_gb,overage_gb,total_bill,final_status
S001,C001,Basic,60.0,10.0,599.0,ACTIVE
S002,C002,Standard,230.0,30.0,1299.0,ACTIVE
S003,C003,Premium,550.0,0.0,1999.0,SUSPENDED
S004,C004,Basic,30.0,0.0,0.0,CANCELLED
S005,C005,Standard,220.0,20.0,1199.0,ACTIVE
S006,C006,Basic,60.0,10.0,599.0,ACTIVE
S007,C007,Premium,550.0,50.0,2499.0,ACTIVE
S008,C008,Standard,220.0,0.0,999.0,SUSPENDED
S009,C009,Basic,45.0,0.0,499.0,ACTIVE
S010,C010,Premium,400.0,0.0,0.0,CANCELLED
S011,C011,Standard,190.0,0.0,999.0,ACTIVE
S012,C012,Basic,20.0,0.0,499.0,ACTIVE
S013,C013,Premium,550.0,50.0,2499.0,ACTIVE
S014,C014,Standard,230.0,30.0,1299.0,ACTIVE
S015,C015,Basic,5.0,0.0,499.0,ACTIVE
S016,C016,Premium,300.0,0.0,1999.0,ACTIVE
S017,C017,Standard,250.0,50.0,1499.0,ACTIVE
S018,C018,Basic,30.0,0.0,499.0,ACTIVE
S019,C019,Premium,600.0,100.0,2999.0,ACTIVE
S020,C020,Standard,100.0,0.0,0.0,CANCELLED
S021,C021,Basic,40.0,0.0,499.0,ACTIVE
S022,C022,Standard,210.0,10.0,1099.0,ACTIVE
S023,C023,Premium,700.0,0.0,1999.0,SUSPENDED
S024,C024,Basic,55.0,5.0,549.0,ACTIVE
S025,C025,Standard,190.0,0.0,999.0,ACTIVE
S026,C026,Premium,530.0,30.0,2299.0,ACTIVE
S027,C027,Basic,10.0,0.0,499.0,ACTIVE
S028,C028,Standard,210.0,10.0,1099.0,ACTIVE
S029,C029,Premium,550.0,50.0,2499.0,ACTIVE
S030,C030,Basic,70.0,0.0,499.0,SUSPENDED
